2022-03-13T23:06:07.051392+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:07.651897900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:07.652101200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:08.853761+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:08.853950400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:08.977902200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:08.978094300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:11.254824800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:11.254905900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:14.091766500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:14.091840500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:16.056558800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:16.056740200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:18.578510200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:18.578588500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:25.658727800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:06:25.658935900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.405965300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.406157800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:07:26.423058200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.423334700+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:07:26.425258600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.426148300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.426992200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.427232600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.428557100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.428967600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.429487200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.429714900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.431046800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.431288500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:26.795740900+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:07:26.795935700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.445923500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.446522300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.447019+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.447493500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.448423500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.448733100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.449180800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.449334900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.449675800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.450118+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.450263200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.450463+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.451262+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.451512800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.875905+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.876044900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.876134700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:28.876211900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.215894600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.216112500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.455807200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.456079300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.456339+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.456572900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.456732300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.456893200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.975481600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:29.975682500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.475687900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.476144200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.476695600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.477228600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.478304400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.478559800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.479051800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.479567300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.479912400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.480084100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.480333500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.480494+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.481545800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.481803700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.906071900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.906315+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.906483600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:37.906603700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.245689300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.245893300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.486171200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.486977700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.488298700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.488805300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.489311300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.489833700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.490321900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:38.490942200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:39.005690900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:07:39.005893+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.092703800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.092913600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:18.106107100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.106304800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:18.108104800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.109152+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.110094600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.110349700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.111410+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.111932500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.112511200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.112720400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:18.286939600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:18.287129300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.113963400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.114161800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:36.126593100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.126858600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:36.128494400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.128989300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.129521400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.129806700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.131079600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.131568900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.132178+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.132471400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:36.302273800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:36.302412200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.583587600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.583785600+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:39.596665600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.596870800+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:39.598261500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.598781500+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.599358700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.599619300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.601306700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.601923600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.602476300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.602743600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:39.792492500+08:00 - transfer tcp packet error, unsupported ipv4 protocol IGMP 
2022-03-13T23:11:39.792585900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.603325200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.603745100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.604438400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.604989600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.606015+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.606316600+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.606795100+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.606944700+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.607370900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.607749900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.607903300+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.608017800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.608828800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:41.609016900+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.012945+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.013377200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.013562200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.013916800+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.372780200+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.373056400+08:00 - transfer tcp packet error, tun not supported udp
2022-03-13T23:11:42.612636400+08:00 - transfer tcp packet error, tun not supported udp
